,Number of Ants,Number of Iterations,Q,Degradation Factor,Cost
0,1,1,1,0.1,85.0
1,1,1,1,0.3,55.0
2,1,1,1,0.5,85.0
3,1,1,1,0.9,85.0
4,1,1,1,1.0,85.0
5,1,5,1,0.1,55.0
6,1,5,1,0.3,55.0
7,1,5,1,0.5,55.0
8,1,5,1,0.9,55.0
9,1,5,1,1.0,55.0
10,1,10,1,0.1,55.0
11,1,10,1,0.3,55.0
12,1,10,1,0.5,55.0
13,1,10,1,0.9,55.0
14,1,10,1,1.0,55.0
15,1,50,1,0.1,55.0
16,1,50,1,0.3,55.0
17,1,50,1,0.5,55.0
18,1,50,1,0.9,55.0
19,1,50,1,1.0,55.0
20,1,100,1,0.1,55.0
21,1,100,1,0.3,55.0
22,1,100,1,0.5,55.0
23,1,100,1,0.9,55.0
24,1,100,1,1.0,55.0
25,1,1,5,0.1,55.0
26,1,1,5,0.3,55.0
27,1,1,5,0.5,80.0
28,1,1,5,0.9,85.0
29,1,1,5,1.0,55.0
30,1,5,5,0.1,55.0
31,1,5,5,0.3,55.0
32,1,5,5,0.5,55.0
33,1,5,5,0.9,55.0
34,1,5,5,1.0,55.0
35,1,10,5,0.1,55.0
36,1,10,5,0.3,55.0
37,1,10,5,0.5,55.0
38,1,10,5,0.9,55.0
39,1,10,5,1.0,55.0
40,1,50,5,0.1,55.0
41,1,50,5,0.3,55.0
42,1,50,5,0.5,55.0
43,1,50,5,0.9,55.0
44,1,50,5,1.0,55.0
45,1,100,5,0.1,55.0
46,1,100,5,0.3,55.0
47,1,100,5,0.5,55.0
48,1,100,5,0.9,55.0
49,1,100,5,1.0,55.0
50,1,1,10,0.1,80.0
51,1,1,10,0.3,55.0
52,1,1,10,0.5,85.0
53,1,1,10,0.9,85.0
54,1,1,10,1.0,55.0
55,1,5,10,0.1,80.0
56,1,5,10,0.3,55.0
57,1,5,10,0.5,80.0
58,1,5,10,0.9,55.0
59,1,5,10,1.0,55.0
60,1,10,10,0.1,55.0
61,1,10,10,0.3,80.0
62,1,10,10,0.5,55.0
63,1,10,10,0.9,55.0
64,1,10,10,1.0,55.0
65,1,50,10,0.1,80.0
66,1,50,10,0.3,55.0
67,1,50,10,0.5,55.0
68,1,50,10,0.9,55.0
69,1,50,10,1.0,55.0
70,1,100,10,0.1,55.0
71,1,100,10,0.3,55.0
72,1,100,10,0.5,55.0
73,1,100,10,0.9,55.0
74,1,100,10,1.0,55.0
75,1,1,15,0.1,55.0
76,1,1,15,0.3,85.0
77,1,1,15,0.5,80.0
78,1,1,15,0.9,55.0
79,1,1,15,1.0,55.0
80,1,5,15,0.1,55.0
81,1,5,15,0.3,55.0
82,1,5,15,0.5,85.0
83,1,5,15,0.9,55.0
84,1,5,15,1.0,55.0
85,1,10,15,0.1,85.0
86,1,10,15,0.3,80.0
87,1,10,15,0.5,80.0
88,1,10,15,0.9,55.0
89,1,10,15,1.0,55.0
90,1,50,15,0.1,55.0
91,1,50,15,0.3,55.0
92,1,50,15,0.5,55.0
93,1,50,15,0.9,55.0
94,1,50,15,1.0,55.0
95,1,100,15,0.1,55.0
96,1,100,15,0.3,55.0
97,1,100,15,0.5,55.0
98,1,100,15,0.9,55.0
99,1,100,15,1.0,55.0
100,1,1,20,0.1,85.0
101,1,1,20,0.3,85.0
102,1,1,20,0.5,80.0
103,1,1,20,0.9,85.0
104,1,1,20,1.0,55.0
105,1,5,20,0.1,55.0
106,1,5,20,0.3,80.0
107,1,5,20,0.5,55.0
108,1,5,20,0.9,55.0
109,1,5,20,1.0,55.0
110,1,10,20,0.1,85.0
111,1,10,20,0.3,55.0
112,1,10,20,0.5,55.0
113,1,10,20,0.9,55.0
114,1,10,20,1.0,55.0
115,1,50,20,0.1,55.0
116,1,50,20,0.3,55.0
117,1,50,20,0.5,55.0
118,1,50,20,0.9,55.0
119,1,50,20,1.0,55.0
120,1,100,20,0.1,55.0
121,1,100,20,0.3,55.0
122,1,100,20,0.5,55.0
123,1,100,20,0.9,55.0
124,1,100,20,1.0,55.0
125,5,1,1,0.1,55.0
126,5,1,1,0.3,55.0
127,5,1,1,0.5,55.0
128,5,1,1,0.9,55.0
129,5,1,1,1.0,55.0
130,5,5,1,0.1,55.0
131,5,5,1,0.3,55.0
132,5,5,1,0.5,55.0
133,5,5,1,0.9,55.0
134,5,5,1,1.0,55.0
135,5,10,1,0.1,55.0
136,5,10,1,0.3,55.0
137,5,10,1,0.5,55.0
138,5,10,1,0.9,55.0
139,5,10,1,1.0,55.0
140,5,50,1,0.1,55.0
141,5,50,1,0.3,55.0
142,5,50,1,0.5,55.0
143,5,50,1,0.9,55.0
144,5,50,1,1.0,55.0
145,5,100,1,0.1,55.0
146,5,100,1,0.3,55.0
147,5,100,1,0.5,55.0
148,5,100,1,0.9,55.0
149,5,100,1,1.0,55.0
150,5,1,5,0.1,55.0
151,5,1,5,0.3,55.0
152,5,1,5,0.5,55.0
153,5,1,5,0.9,55.0
154,5,1,5,1.0,55.0
155,5,5,5,0.1,55.0
156,5,5,5,0.3,55.0
157,5,5,5,0.5,55.0
158,5,5,5,0.9,55.0
159,5,5,5,1.0,55.0
160,5,10,5,0.1,55.0
161,5,10,5,0.3,55.0
162,5,10,5,0.5,55.0
163,5,10,5,0.9,55.0
164,5,10,5,1.0,55.0
165,5,50,5,0.1,55.0
166,5,50,5,0.3,55.0
167,5,50,5,0.5,55.0
168,5,50,5,0.9,55.0
169,5,50,5,1.0,55.0
170,5,100,5,0.1,80.0
171,5,100,5,0.3,55.0
172,5,100,5,0.5,55.0
173,5,100,5,0.9,55.0
174,5,100,5,1.0,55.0
